"regionField","id","label"
BEC,1,CMAunp
BEC,2,CWHdm
BEC,3,CWHds1
BEC,4,CWHms1
BEC,5,CWHvm1
BEC,6,CWHvm2
BEC,7,CWHxm1
BEC,8,MHmm1
BEC,9,MHmm2
AHSBR vascular plant diversity x protected areas,1,A - Park
AHSBR vascular plant diversity x protected areas,2,Conservancy
AHSBR vascular plant diversity x protected areas,3,Ecological Reserve
AHSBR vascular plant diversity x protected areas,4,Migratory Bird Sanctuary
AHSBR vascular plant diversity x protected areas,5,Old Growth Management Areas (Mapped Legal)
AHSBR vascular plant diversity x protected areas,6,Other Effective Area-Based Conservation Measure
AHSBR vascular plant diversity x protected areas,7,Privately Owned Conservation Area
AHSBR vascular plant diversity x protected areas,8,Protected Area
AHSBR vascular plant diversity x protected areas,9,Sea To Sky Wildland Zones
AHSBR vascular plant diversity x protected areas,10,Wildlife Habitat Areas
AHSBR vascular plant diversity x protected areas,11,Wildlife Management Area
